id,latitude,longitude,hub_id,driver_id,num_items,created_at,started_at,completed_at
1,37.793095,-122.394814,6,92,1,3/4/14 1:30,3/4/14 1:32,3/4/14 1:46
2,37.7915,-122.39858,6,92,2,3/4/14 1:30,3/4/14 1:47,3/4/14 1:55
3,37.762955,-122.452249,7,80,1,3/4/14 1:30,3/4/14 1:31,3/4/14 1:44
4,37.762865,-122.401382,1,40,1,3/4/14 1:30,3/4/14 1:31,3/4/14 1:40
5,37.74554,-122.43622,2,66,4,3/4/14 1:30,3/4/14 1:39,3/4/14 1:46
6,37.79545,-122.41122,6,67,1,3/4/14 1:31,3/4/14 1:32,3/4/14 1:41
7,37.790335,-122.414939,6,68,2,3/4/14 1:31,3/4/14 1:37,3/4/14 1:55
8,37.773393,-122.396357,1,69,1,3/4/14 1:31,3/4/14 1:33,3/4/14 1:44
9,37.769765,-122.389897,1,38,3,3/4/14 1:31,3/4/14 1:32,3/4/14 1:44
10,37.73307,-122.44417,2,73,4,3/4/14 1:31,3/4/14 1:38,3/4/14 1:55
11,37.76015,-122.39043,1,100,2,3/4/14 1:31,3/4/14 1:33,3/4/14 1:55
12,37.794417,-122.433839,4,79,2,3/4/14 1:31,3/4/14 1:32,3/4/14 1:43
13,37.77607,-122.44424,5,44,1,3/4/14 1:31,3/4/14 1:32,3/4/14 1:45
14,37.78745,-122.41499,6,68,3,3/4/14 1:32,3/4/14 1:55,3/4/14 2:02
15,37.79011,-122.4167,4,61,1,3/4/14 1:32,3/4/14 1:32,3/4/14 1:50
16,37.784597,-122.408516,6,83,1,3/4/14 1:32,3/4/14 1:34,3/4/14 1:58
17,37.7815,-122.4426,7,75,2,3/4/14 1:32,3/4/14 1:33,3/4/14 1:44
18,37.797295,-122.415264,4,59,1,3/4/14 1:32,3/4/14 1:33,3/4/14 1:44
19,37.742799,-122.424382,2,34,1,3/4/14 1:32,3/4/14 1:42,3/4/14 1:51
20,37.80467,-122.43604,4,81,3,3/4/14 1:33,3/4/14 1:35,3/4/14 1:42
21,37.73924,-122.42867,2,63,3,3/4/14 1:33,3/4/14 1:45,3/4/14 1:56
22,37.79156,-122.40241,6,57,1,3/4/14 1:33,3/4/14 1:41,3/4/14 1:45
23,37.75097,-122.40898,2,87,1,3/4/14 1:33,3/4/14 1:42,3/4/14 1:52
24,37.80381,-122.44702,4,78,3,3/4/14 1:33,3/4/14 1:35,3/4/14 1:45
25,37.80453,-122.42209,4,99,1,3/4/14 1:34,3/4/14 1:35,3/4/14 1:40
26,37.78191,-122.46112,7,90,1,3/4/14 1:34,3/4/14 1:40,3/4/14 1:45
27,37.78449,-122.45797,7,90,3,3/4/14 1:34,3/4/14 1:47,3/4/14 1:51
28,37.771097,-122.389118,1,106,2,3/4/14 1:35,3/4/14 1:35,3/4/14 1:54
29,37.77403,-122.395548,1,42,2,3/4/14 1:36,3/4/14 1:37,3/4/14 1:52
30,37.7735,-122.42228,5,49,1,3/4/14 1:36,3/4/14 1:37,3/4/14 1:54
31,37.79437,-122.39495,6,109,1,3/4/14 1:37,3/4/14 1:38,3/4/14 1:50
32,37.769459,-122.429119,5,33,2,3/4/14 1:37,3/4/14 1:38,3/4/14 1:46
33,37.792249,-122.399764,6,109,1,3/4/14 1:37,3/4/14 1:53,3/4/14 1:56
34,37.78792,-122.41885,4,55,1,3/4/14 1:38,3/4/14 1:42,3/4/14 2:01
35,37.78081,-122.39028,1,16,1,3/4/14 1:38,3/4/14 1:40,3/4/14 1:53
36,37.7814,-122.432485,5,30,3,3/4/14 1:38,3/4/14 1:40,3/4/14 1:53
37,37.786089,-122.455879,7,111,2,3/4/14 1:38,3/4/14 1:53,3/4/14 2:13
38,37.77506,-122.42977,5,39,1,3/4/14 1:38,3/4/14 1:40,3/4/14 1:49
39,37.77154,-122.44051,5,54,1,3/4/14 1:39,3/4/14 1:43,3/4/14 1:51
40,37.80367,-122.4363,4,102,2,3/4/14 1:40,3/4/14 1:43,3/4/14 1:51
41,37.76941,-122.44411,5,54,1,3/4/14 1:40,3/4/14 1:57,3/4/14 1:57
42,37.771551,-122.431128,5,48,1,3/4/14 1:40,3/4/14 1:42,3/4/14 1:48
43,37.77978,-122.39473,1,62,1,3/4/14 1:41,3/4/14 1:42,3/4/14 1:50
44,37.80197,-122.42719,4,99,1,3/4/14 1:41,3/4/14 1:46,3/4/14 1:50
45,37.78335,-122.438739,5,36,1,3/4/14 1:41,3/4/14 1:43,3/4/14 1:56
46,37.79299,-122.4022,6,93,8,3/4/14 1:42,3/4/14 1:50,3/4/14 1:55
47,37.79345,-122.39818,6,110,1,3/4/14 1:42,3/4/14 1:51,3/4/14 2:01
48,37.79783,-122.42045,4,81,3,3/4/14 1:43,3/4/14 1:49,3/4/14 1:57
49,37.80577,-122.41024,6,23,1,3/4/14 1:44,3/4/14 1:49,3/4/14 2:02
50,37.77792,-122.39603,1,46,2,3/4/14 1:45,3/4/14 1:46,3/4/14 1:53
51,37.79156,-122.40241,6,57,3,3/4/14 1:46,3/4/14 1:53,3/4/14 1:59
52,37.777719,-122.39578,1,40,1,3/4/14 1:46,3/4/14 1:47,3/4/14 1:52
53,37.764934,-122.400244,1,69,1,3/4/14 1:46,3/4/14 1:57,3/4/14 2:06
54,37.74094,-122.41822,2,50,4,3/4/14 1:47,3/4/14 1:54,3/4/14 2:05
55,37.764934,-122.400244,1,38,10,3/4/14 1:48,3/4/14 1:54,3/4/14 2:04
56,37.789042,-122.417596,4,79,2,3/4/14 1:48,3/4/14 1:50,3/4/14 2:03
57,37.78283,-122.39332,1,100,1,3/4/14 1:48,3/4/14 1:52,3/4/14 2:24
58,37.78226,-122.4676,7,75,2,3/4/14 1:49,3/4/14 1:53,3/4/14 2:03
59,37.779077,-122.436907,5,48,1,3/4/14 1:49,3/4/14 1:52,3/4/14 2:01
60,37.78888,-122.39869,6,57,1,3/4/14 1:49,3/4/14 1:59,3/4/14 2:12
